Filename,EPS
0001008654-20-000048.html,0.09
0001140361-20-010070.html,13.10
0001193125-20-124288.html,1.96
0001299709-20-000078.html,0.91
0001104659-20-052792.html,0.04
0000892537-20-000010.html,0.71
0001564590-20-019755.html,1.94
0001193125-20-124568.html,0.30
0001323885-20-000027.html,0.20
0001564590-20-019431.html,1.06
0001620459-20-000067.html,0.50
0001141391-20-000089.html,1.00
0000875320-20-000014.html,2.29
0001720635-20-000018.html,0.11
0000008947-20-000044.html,0.41
0001564590-20-019396.html,0.05
0001165002-20-000083.html,0.13
0000939057-20-000186.html,0.19
0000895419-20-000042.html,0.14
0000706129-20-000012.html,0.24
0000004977-20-000054.html,0.00
0001157523-20-000599.html,0.56
0001564590-20-019421.html,0.01
0001193125-20-126089.html,1.40
0001193125-20-126683.html,27.00
0001423689-20-000040.html,0.13
0001171843-20-003035.html,6.79
0001373715-20-000098.html,0.24
0001157523-20-000597.html,1.50
0001104659-20-053534.html,0.66
0001104659-20-053563.html,2.00
0000046080-20-000050.html,0.51
0001289945-20-000036.html,0.24
0001564590-20-019726.html,0.08
0001691303-20-000019.html,0.39
0001564590-20-019442.html,0.99
0001576427-20-000032.html,0.29
0001564590-20-019760.html,0.15
0000066570-20-000013.html,0.04
0001157523-20-000600.html,0.04
0001722482-20-000089.html,0.05
0000314808-20-000062.html,1.00
0001678463-20-000062.html,0.22
0000846617-20-000024.html,0.15
0001538263-20-000014.html,0.07
0000950103-20-008424.html,0.23
0000874766-20-000033.html,0.10
0001104659-20-052683.html,0.42
0001436425-20-000011.html,0.21
